timestamp,nodeid,source,fqdd,value
2023-02-21 12:32:26.000 -0600,1,#Thermal.v1_4_0.Fan,FAN_1,5950
2023-02-21 12:32:26.000 -0600,1,#Thermal.v1_4_0.Fan,FAN_2,5950
2023-02-21 12:32:26.000 -0600,1,#Thermal.v1_4_0.Fan,FAN_3,6090
2023-02-21 12:32:26.000 -0600,1,#Thermal.v1_4_0.Fan,FAN_4,6090
2023-02-21 12:32:26.000 -0600,2,#Thermal.v1_4_0.Fan,FAN_1,5950
2023-02-21 12:32:26.000 -0600,2,#Thermal.v1_4_0.Fan,FAN_2,6090
2023-02-21 12:32:26.000 -0600,2,#Thermal.v1_4_0.Fan,FAN_3,6090
2023-02-21 12:32:26.000 -0600,2,#Thermal.v1_4_0.Fan,FAN_4,6090
2023-02-21 12:32:26.000 -0600,3,#Thermal.v1_4_0.Fan,FAN_1,6090
2023-02-21 12:32:26.000 -0600,3,#Thermal.v1_4_0.Fan,FAN_2,6090
2023-02-21 12:32:26.000 -0600,3,#Thermal.v1_4_0.Fan,FAN_3,5950
2023-02-21 12:32:26.000 -0600,3,#Thermal.v1_4_0.Fan,FAN_4,6090
2023-02-21 12:32:26.000 -0600,4,#Thermal.v1_4_0.Fan,FAN_1,5950
2023-02-21 12:32:26.000 -0600,4,#Thermal.v1_4_0.Fan,FAN_2,6090
2023-02-21 12:32:26.000 -0600,4,#Thermal.v1_4_0.Fan,FAN_3,6090
2023-02-21 12:32:26.000 -0600,4,#Thermal.v1_4_0.Fan,FAN_4,6090
2023-02-21 12:32:26.000 -0600,5,#Thermal.v1_4_0.Fan,FAN_1,11130
2023-02-21 12:32:26.000 -0600,5,#Thermal.v1_4_0.Fan,FAN_2,11130
2023-02-21 12:32:26.000 -0600,5,#Thermal.v1_4_0.Fan,FAN_3,11130
2023-02-21 12:32:26.000 -0600,5,#Thermal.v1_4_0.Fan,FAN_4,11270
2023-02-21 12:32:26.000 -0600,7,#Thermal.v1_4_0.Fan,FAN_1,11130
2023-02-21 12:32:26.000 -0600,7,#Thermal.v1_4_0.Fan,FAN_2,11130
2023-02-21 12:32:26.000 -0600,7,#Thermal.v1_4_0.Fan,FAN_3,11060
2023-02-21 12:32:26.000 -0600,7,#Thermal.v1_4_0.Fan,FAN_4,11270
2023-02-21 12:32:26.000 -0600,8,#Thermal.v1_4_0.Fan,FAN_1,11130
2023-02-21 12:32:26.000 -0600,8,#Thermal.v1_4_0.Fan,FAN_2,11130
2023-02-21 12:32:26.000 -0600,8,#Thermal.v1_4_0.Fan,FAN_3,11060
2023-02-21 12:32:26.000 -0600,8,#Thermal.v1_4_0.Fan,FAN_4,11130
2023-02-21 12:32:26.000 -0600,9,#Thermal.v1_4_0.Fan,FAN_1,9100
2023-02-21 12:32:26.000 -0600,9,#Thermal.v1_4_0.Fan,FAN_2,9100
2023-02-21 12:32:26.000 -0600,9,#Thermal.v1_4_0.Fan,FAN_3,9100
2023-02-21 12:32:26.000 -0600,9,#Thermal.v1_4_0.Fan,FAN_4,9100
2023-02-21 12:32:26.000 -0600,10,#Thermal.v1_4_0.Fan,FAN_1,9170
2023-02-21 12:32:26.000 -0600,10,#Thermal.v1_4_0.Fan,FAN_2,8960
2023-02-21 12:32:26.000 -0600,10,#Thermal.v1_4_0.Fan,FAN_3,9310
2023-02-21 12:32:26.000 -0600,10,#Thermal.v1_4_0.Fan,FAN_4,9100
2023-02-21 12:32:26.000 -0600,11,#Thermal.v1_4_0.Fan,FAN_1,9170
2023-02-21 12:32:26.000 -0600,11,#Thermal.v1_4_0.Fan,FAN_2,9310
2023-02-21 12:32:26.000 -0600,11,#Thermal.v1_4_0.Fan,FAN_3,9170
2023-02-21 12:32:26.000 -0600,11,#Thermal.v1_4_0.Fan,FAN_4,9170
2023-02-21 12:32:26.000 -0600,12,#Thermal.v1_4_0.Fan,FAN_1,9170
2023-02-21 12:32:26.000 -0600,12,#Thermal.v1_4_0.Fan,FAN_2,9310
2023-02-21 12:32:26.000 -0600,12,#Thermal.v1_4_0.Fan,FAN_3,9310
2023-02-21 12:32:26.000 -0600,12,#Thermal.v1_4_0.Fan,FAN_4,9170
2023-02-21 12:32:26.000 -0600,13,#Thermal.v1_4_0.Fan,FAN_1,8680
2023-02-21 12:32:26.000 -0600,13,#Thermal.v1_4_0.Fan,FAN_2,8680
2023-02-21 12:32:26.000 -0600,13,#Thermal.v1_4_0.Fan,FAN_3,8680
2023-02-21 12:32:26.000 -0600,13,#Thermal.v1_4_0.Fan,FAN_4,8680
2023-02-21 12:32:26.000 -0600,14,#Thermal.v1_4_0.Fan,FAN_1,8680
2023-02-21 12:32:26.000 -0600,14,#Thermal.v1_4_0.Fan,FAN_2,8680
2023-02-21 12:32:26.000 -0600,14,#Thermal.v1_4_0.Fan,FAN_3,8680
2023-02-21 12:32:26.000 -0600,14,#Thermal.v1_4_0.Fan,FAN_4,8540
2023-02-21 12:32:26.000 -0600,15,#Thermal.v1_4_0.Fan,FAN_1,8470
2023-02-21 12:32:26.000 -0600,15,#Thermal.v1_4_0.Fan,FAN_2,8540
2023-02-21 12:32:26.000 -0600,15,#Thermal.v1_4_0.Fan,FAN_3,8540
2023-02-21 12:32:26.000 -0600,15,#Thermal.v1_4_0.Fan,FAN_4,8470
2023-02-21 12:32:26.000 -0600,16,#Thermal.v1_4_0.Fan,FAN_1,8680
2023-02-21 12:32:26.000 -0600,16,#Thermal.v1_4_0.Fan,FAN_2,8680
2023-02-21 12:32:26.000 -0600,16,#Thermal.v1_4_0.Fan,FAN_3,8750
2023-02-21 12:32:26.000 -0600,16,#Thermal.v1_4_0.Fan,FAN_4,8680
2023-02-21 12:32:26.000 -0600,17,#Thermal.v1_4_0.Fan,FAN_1,10710
2023-02-21 12:32:26.000 -0600,17,#Thermal.v1_4_0.Fan,FAN_2,10710
2023-02-21 12:32:26.000 -0600,17,#Thermal.v1_4_0.Fan,FAN_3,10640
2023-02-21 12:32:26.000 -0600,17,#Thermal.v1_4_0.Fan,FAN_4,10710
2023-02-21 12:32:26.000 -0600,18,#Thermal.v1_4_0.Fan,FAN_1,10640
2023-02-21 12:32:26.000 -0600,18,#Thermal.v1_4_0.Fan,FAN_2,10710
2023-02-21 12:32:26.000 -0600,18,#Thermal.v1_4_0.Fan,FAN_3,10710
2023-02-21 12:32:26.000 -0600,18,#Thermal.v1_4_0.Fan,FAN_4,10710
